"","X","Nest","maxclutch","year","site","win_hi","spr_hi","wxt","sxt","wxw","sxw"
"1",1,"ADS001",6,1994,"kig",46,9,14,1,7,1
"2",2,"ADS002",6,1994,"kig",46,9,14,1,7,1
"3",3,"ADS003",7,1994,"kig",46,9,14,1,7,1
"4",4,"ADS004",6,1994,"kig",46,9,14,1,7,1
"5",5,"ADS008",6,1994,"kig",46,9,14,1,7,1
"6",6,"ADS010",6,1994,"kig",46,9,14,1,7,1
"7",7,"ADS014",6,1994,"kig",46,9,14,1,7,1
"8",8,"ADS017",6,1994,"kig",46,9,14,1,7,1
"9",9,"ADS022",6,1994,"kig",46,9,14,1,7,1
"10",10,"ADS025",6,1994,"kig",46,9,14,1,7,1
"11",11,"ADS027",6,1994,"kig",46,9,14,1,7,1
"12",12,"ADS028",5,1994,"kig",46,9,14,1,7,1
"13",13,"ADS029",6,1994,"kig",46,9,14,1,7,1
"14",14,"ADS030",6,1994,"kig",46,9,14,1,7,1
"15",15,"ADS031",6,1994,"kig",46,9,14,1,7,1
"16",16,"ADS032",4,1994,"kig",46,9,14,1,7,1
"17",17,"ADS035",6,1994,"kig",46,9,14,1,7,1
"18",18,"ADS036",6,1994,"kig",46,9,14,1,7,1
"19",19,"ADS037",6,1994,"kig",46,9,14,1,7,1
"20",20,"ADS040",4,1994,"kig",46,9,14,1,7,1
"21",21,"ADS044",6,1994,"kig",46,9,14,1,7,1
"22",22,"ADS046",5,1994,"kig",46,9,14,1,7,1
"23",23,"KSB001",6,1994,"kig",46,9,14,1,7,1
"24",24,"KSB002",7,1994,"kig",46,9,14,1,7,1
"25",25,"KSB003",6,1994,"kig",46,9,14,1,7,1
"26",26,"KSB005",3,1994,"kig",46,9,14,1,7,1
"27",27,"KSB006",7,1994,"kig",46,9,14,1,7,1
"28",28,"KSB007",5,1994,"kig",46,9,14,1,7,1
"29",29,"KSB009",7,1994,"kig",46,9,14,1,7,1
"30",30,"KSB011",6,1994,"kig",46,9,14,1,7,1
"31",31,"KSB014",4,1994,"kig",46,9,14,1,7,1
"32",32,"KSB016",3,1994,"kig",46,9,14,1,7,1
"33",33,"KSB017",4,1994,"kig",46,9,14,1,7,1
"34",34,"TDB001",3,1994,"kig",46,9,14,1,7,1
"35",35,"TDB002",4,1994,"kig",46,9,14,1,7,1
"36",36,"TDB003",4,1994,"kig",46,9,14,1,7,1
"37",37,"TDB004",6,1994,"kig",46,9,14,1,7,1
"38",38,"TLM001",6,1994,"kig",46,9,14,1,7,1
"39",39,"TLM003",6,1994,"kig",46,9,14,1,7,1
"40",40,"TLM004",5,1994,"kig",46,9,14,1,7,1
"41",41,"TLM007",6,1994,"kig",46,9,14,1,7,1
"42",42,"TLM012",6,1994,"kig",46,9,14,1,7,1
"43",43,"TLM014",7,1994,"kig",46,9,14,1,7,1
"44",44,"TLM016",7,1994,"kig",46,9,14,1,7,1
"45",45,"TLM017",6,1994,"kig",46,9,14,1,7,1
"46",46,"TLM019",6,1994,"kig",46,9,14,1,7,1
"47",47,"TLM020",6,1994,"kig",46,9,14,1,7,1
"48",48,"TLM021",5,1994,"kig",46,9,14,1,7,1
"49",49,"TLM023",5,1994,"kig",46,9,14,1,7,1
"50",50,"TLM026",5,1994,"kig",46,9,14,1,7,1
"51",51,"TLM028",6,1994,"kig",46,9,14,1,7,1
"52",52,"TLM029",5,1994,"kig",46,9,14,1,7,1
"53",53,"TLM031",6,1994,"kig",46,9,14,1,7,1
"54",54,"TLM032",5,1994,"kig",46,9,14,1,7,1
"55",55,"TLM033",7,1994,"kig",46,9,14,1,7,1
"56",56,"TLM042",5,1994,"kig",46,9,14,1,7,1
"57",57,"TLM043",6,1994,"kig",46,9,14,1,7,1
"58",58,"TLM045",5,1994,"kig",46,9,14,1,7,1
"59",59,"TLM046",6,1994,"kig",46,9,14,1,7,1
"60",60,"TLM047",6,1994,"kig",46,9,14,1,7,1
"61",61,"TLM051",6,1994,"kig",46,9,14,1,7,1
"62",62,"TLM052",3,1994,"kig",46,9,14,1,7,1
"63",63,"TLM053",6,1994,"kig",46,9,14,1,7,1
"64",64,"TLM067",5,1994,"kig",46,9,14,1,7,1
"65",65,"TLM070",6,1994,"kig",46,9,14,1,7,1
"66",66,"TLM071",5,1994,"kig",46,9,14,1,7,1
"67",67,"TLM073",5,1994,"kig",46,9,14,1,7,1
"68",68,"TLM074",5,1994,"kig",46,9,14,1,7,1
"69",69,"TLM075",5,1994,"kig",46,9,14,1,7,1
"70",70,"TLM078",6,1994,"kig",46,9,14,1,7,1
"71",71,"TLM079",7,1994,"kig",46,9,14,1,7,1
"72",72,"TLM080",6,1994,"kig",46,9,14,1,7,1
"73",73,"TLM082",5,1994,"kig",46,9,14,1,7,1
"74",74,"TLM083",4,1994,"kig",46,9,14,1,7,1
"75",75,"TLM087",5,1994,"kig",46,9,14,1,7,1
"76",76,"TLM088",6,1994,"kig",46,9,14,1,7,1
"77",77,"TLM091",6,1994,"kig",46,9,14,1,7,1
"78",78,"TLM094",4,1994,"kig",46,9,14,1,7,1
"79",79,"TLM096",5,1994,"kig",46,9,14,1,7,1
"80",80,"TLM097",4,1994,"kig",46,9,14,1,7,1
"81",81,"TLM099",5,1994,"kig",46,9,14,1,7,1
"82",82,"MRB003",5,1995,"kig",79,7,13,5,9,1
"83",83,"MRB004",6,1995,"kig",79,7,13,5,9,1
"84",84,"MRB007",6,1995,"kig",79,7,13,5,9,1
"85",85,"MRB010",6,1995,"kig",79,7,13,5,9,1
"86",86,"MRB011",5,1995,"kig",79,7,13,5,9,1
"87",87,"MRB012",4,1995,"kig",79,7,13,5,9,1
