"","S","model","npar","AICc","DeltaAICc","weight","Deviance"
"2","~-1 + cinit + NestAge + Site:Year","S(~-1 + cinit + NestAge + Site:Year)",36,4003.59415065004,0,0.823665019775812,3931.5269
"4","~-1 + cinit + Site:Year","S(~-1 + cinit + Site:Year)",35,4006.67691387388,3.08276322384381,0.176334420033805,3936.6133
"11","~-1 + Site:Year","S(~-1 + Site:Year)",34,4032.74727825319,29.1531276031478,3.84794980491638e-07,3964.6872
"1","~-1 + NestAge + Site:Year","S(~-1 + NestAge + Site:Year)",35,4034.31861387388,30.7244632238439,1.75395401766846e-07,3964.255
"6","~Site + cinit + NestAge","S(~Site + cinit + NestAge)",4,4245.73290895447,242.138758304432,0,4237.7319
"5","~Site + cinit","S(~Site + cinit)",3,4248.67380535741,245.079654707375,0,4242.6732
"9","~Site + Init + Site * cinit","S(~Site + Init + Site * cinit)",4,4249.37610895447,245.781958304432,0,4241.3751
"7","~Site + NestAge","S(~Site + NestAge)",3,4274.84490535741,271.250754707374,0,4268.8443
"10","~Site + NestAge + Site * NestAge","S(~Site + NestAge + Site * NestAge)",4,4276.31650895447,272.722358304432,0,4268.3155
"3","~1","S(~1)",1,4294.89090088781,291.296750237774,0,4292.8908
"8","~Site + Year","S(~Site + Year)",28,4432.82088836476,429.226737714718,0,4376.7799
