"","S","model","npar","AICc","DeltaAICc","weight","Deviance"
"29","~Site + Win_Lo + Win_Lo2 + Site * Win_Lo + Site * Win_Lo2","S(~Site + Win_Lo + Win_Lo2 + Site * Win_Lo + Site * Win_Lo2)",6,4132.68981891128,0,0.999999999875981,4120.6877
"28","~Site + Win_Lo + Site * Win_Lo","S(~Site + Win_Lo + Site * Win_Lo)",4,4178.31160895447,45.6217900431875,1.23980723045658e-10,4170.3106
"2","~Site + Win_Lo + Win_Lo2 + sxt + sxw","S(~Site + Win_Lo + Win_Lo2 + sxt + sxw)",6,4195.16251891128,62.4726999999993,2.71785047623492e-14,4183.1604
"10","~Site + Win_Hi + Win_Hi2 + sxt + sxw","S(~Site + Win_Hi + Win_Hi2 + sxt + sxw)",6,4197.82521891128,65.1353999999992,7.17839912269441e-15,4185.8231
"27","~Site + Win_Hi + Win_Hi2 + Site * Win_Hi + Site * Win_Hi2","S(~Site + Win_Hi + Win_Hi2 + Site * Win_Hi + Site * Win_Hi2)",6,4199.93401891128,67.2441999999992,2.50096434322606e-15,4187.9319
"1","~Site + Win_Lo + Win_Lo2 + wxt + wxw","S(~Site + Win_Lo + Win_Lo2 + wxt + wxw)",6,4200.52081891128,67.8309999999992,1.86502861247371e-15,4188.5187
"14","~Site + Win_Lo","S(~Site + Win_Lo)",3,4206.55980535741,73.8699864461296,0,4200.5592
"15","~Site + Win_Lo + Win_Lo2","S(~Site + Win_Lo + Win_Lo2)",4,4207.17300895447,74.4831900431873,0,4199.172
"26","~Site + Win_Hi + Site * Win_Hi","S(~Site + Win_Hi + Site * Win_Hi)",4,4209.80180895447,77.1119900431877,0,4201.8008
"13","~Site + Win_Hi + Win_Hi2","S(~Site + Win_Hi + Win_Hi2)",4,4214.65650895447,81.9666900431876,0,4206.6555
"11","~Site + Win_Hi + Win_Hi2 + wxt + wxw","S(~Site + Win_Hi + Win_Hi2 + wxt + wxw)",6,4216.75031891128,84.0604999999996,0,4204.7482
"12","~Site + Win_Hi","S(~Site + Win_Hi)",3,4221.54000535741,88.8501864461296,0,4215.5394
"31","~Site + wxt + wxw + Site * wxt + Site * wxw","S(~Site + wxt + wxw + Site * wxt + Site * wxw)",6,4224.99021891128,92.3003999999992,0,4212.9881
"22","~Site + Spr_Lo + Spr_Lo2 + Site * Spr_Lo + Site * Spr_Lo2","S(~Site + Spr_Lo + Spr_Lo2 + Site * Spr_Lo + Site * Spr_Lo2)",6,4232.77951891128,100.0897,0,4220.7774
"17","~Site + wxt + wxw","S(~Site + wxt + wxw)",4,4239.06330895447,106.373490043187,0,4231.0623
"6","~Site + Spr_Lo + Spr_Lo2","S(~Site + Spr_Lo + Spr_Lo2)",4,4240.28080895447,107.590990043188,0,4232.2798
"32","~Site + wxw + Site * wxw","S(~Site + wxw + Site * wxw)",4,4256.06070895447,123.370890043188,0,4248.0597
"30","~Site + wxt + Site * wxt","S(~Site + wxt + Site * wxt)",4,4257.69090895447,125.001090043188,0,4249.6899
"21","~Site + Spr_Lo + Site * Spr_Lo","S(~Site + Spr_Lo + Site * Spr_Lo)",4,4258.59650895447,125.906690043188,0,4250.5955
"18","~Site + wxw","S(~Site + wxw)",3,4261.35520535741,128.66538644613,0,4255.3546
"16","~Site + wxt","S(~Site + wxt)",3,4261.36940535741,128.67958644613,0,4255.3688
"5","~Site + Spr_Lo","S(~Site + Spr_Lo)",3,4263.92490535741,131.23508644613,0,4257.9243
"25","~Site + sxw + Site * sxw","S(~Site + sxw + Site * sxw)",4,4265.06780895447,132.377990043187,0,4257.0668
"9","~Site + sxw","S(~Site + sxw)",3,4266.54310535741,133.853286446129,0,4260.5425
"24","~Site + sxt + sxw + Site * sxt + Site * sxw","S(~Site + sxt + sxw + Site * sxt + Site * sxw)",6,4267.29731891128,134.607499999999,0,4255.2952
"8","~Site + sxt + sxw","S(~Site + sxt + sxw)",4,4267.97800895447,135.288190043188,0,4259.977
"4","~Site + Spr_Hi + Spr_Hi2","S(~Site + Spr_Hi + Spr_Hi2)",4,4271.12130895447,138.431490043187,0,4263.1203
"20","~Site + Spr_Hi + Spr_Hi2 + Site * Spr_Hi + Site * Spr_Hi2","S(~Site + Spr_Hi + Spr_Hi2 + Site * Spr_Hi + Site * Spr_Hi2)",6,4271.68901891128,138.999199999999,0,4259.6869
"19","~Site + Spr_Hi + Site * Spr_Hi","S(~Site + Spr_Hi + Site * Spr_Hi)",4,4273.99920895447,141.309390043188,0,4265.9982
"3","~Site + Spr_Hi","S(~Site + Spr_Hi)",3,4274.59170535741,141.90188644613,0,4268.5911
"23","~Site + sxt + Site * sxt","S(~Site + sxt + Site * sxt)",4,4274.96350895447,142.273690043187,0,4266.9625
"7","~Site + sxt","S(~Site + sxt)",3,4275.12460535741,142.43478644613,0,4269.124
