Nest,FirstFound,LastPresent,LastChecked,Fate,Freq,Init,AgeDay1,Year,Site,Win_Hi,Win_Lo,Spr_Hi,Spr_Lo
ADS001,1,27,27,0,1,141,2,1994,kig,46,50,9,0
ADS002,3,26,26,0,1,143,0,1994,kig,46,50,9,0
ADS003,4,27,27,0,1,141,2,1994,kig,46,50,9,0
ADS004,4,20,20,0,1,141,2,1994,kig,46,50,9,0
ADS008,5,27,27,0,1,145,-2,1994,kig,46,50,9,0
ADS014,8,24,24,0,1,145,-2,1994,kig,46,50,9,0
ADS017,8,29,29,0,1,145,-2,1994,kig,46,50,9,0
ADS022,8,30,30,0,1,148,-5,1994,kig,46,50,9,0
ADS030,13,34,34,0,1,147,-4,1994,kig,46,50,9,0
ADS031,14,36,36,0,1,151,-8,1994,kig,46,50,9,0
ADS032,4,31,31,0,1,148,-5,1994,kig,46,50,9,0
ADS036,15,31,31,0,1,139,4,1994,kig,46,50,9,0
ADS037,15,31,31,0,1,146,-3,1994,kig,46,50,9,0
KSB001,16,27,27,0,1,140,3,1994,kig,46,50,9,0
KSB002,16,30,30,0,1,140,3,1994,kig,46,50,9,0
KSB005,18,36,36,0,1,154,-11,1994,kig,46,50,9,0
KSB006,18,29,29,0,1,147,-4,1994,kig,46,50,9,0
KSB011,26,32,32,0,1,147,-4,1994,kig,46,50,9,0
KSB014,27,39,39,0,1,151,-8,1994,kig,46,50,9,0
KSB017,29,32,32,0,1,150,-7,1994,kig,46,50,9,0
TDB002,24,47,47,0,1,155,-12,1994,kig,46,50,9,0
TLM004,1,24,24,0,1,141,2,1994,kig,46,50,9,0
TLM007,2,26,26,0,1,142,1,1994,kig,46,50,9,0
TLM012,3,24,24,0,1,140,3,1994,kig,46,50,9,0
TLM014,3,28,28,0,1,143,0,1994,kig,46,50,9,0
TLM016,4,27,27,0,1,141,2,1994,kig,46,50,9,0
TLM017,4,25,25,0,1,141,2,1994,kig,46,50,9,0
TLM021,6,28,28,0,1,143,0,1994,kig,46,50,9,0
TLM023,6,29,29,0,1,143,0,1994,kig,46,50,9,0
TLM026,6,18,18,0,1,140,3,1994,kig,46,50,9,0
TLM029,7,31,31,0,1,147,-4,1994,kig,46,50,9,0
TLM031,8,30,30,0,1,145,-2,1994,kig,46,50,9,0
TLM033,8,24,24,0,1,145,-2,1994,kig,46,50,9,0
TLM042,8,28,28,0,1,145,-2,1994,kig,46,50,9,0
TLM043,8,30,30,0,1,145,-2,1994,kig,46,50,9,0
TLM045,9,20,20,0,1,133,10,1994,kig,46,50,9,0
TLM047,9,27,27,0,1,143,0,1994,kig,46,50,9,0
TLM051,10,23,23,0,1,144,-1,1994,kig,46,50,9,0
TLM052,11,34,34,0,1,151,-8,1994,kig,46,50,9,0
TLM053,11,25,25,0,1,142,1,1994,kig,46,50,9,0
TLM067,12,33,33,0,1,152,-9,1994,kig,46,50,9,0
TLM070,12,25,25,0,1,146,-3,1994,kig,46,50,9,0
TLM071,13,29,29,0,1,147,-4,1994,kig,46,50,9,0
TLM073,13,24,24,0,1,150,-7,1994,kig,46,50,9,0
TLM074,13,29,29,0,1,144,-1,1994,kig,46,50,9,0
TLM075,14,26,26,0,1,145,-2,1994,kig,46,50,9,0
TLM078,14,29,29,0,1,148,-5,1994,kig,46,50,9,0
TLM079,16,29,29,0,1,150,-7,1994,kig,46,50,9,0
