"","FirstFound","LastPresent","LastChecked","Fate","Freq","Init","NestAge","Site","Nest","X","year_winter","ws_days_tmin_below_15","w_days_tmin_below_15","sp_days_tmin_below_11","winter_meanTmin","spring_meanTmin","ws_days_awnd_above_13_6","w_days_awnd_above_13_8","sp_days_awnd_above_12","winter_meanWind","spring_meanWind","ws_count_sic_ge95","winter_count_sic_ge95","spring_count_sic_ge95","ws_count_sic_le15","winter_count_sic_le15","spring_count_sic_le15","ws_index","winter_index","spring_index","Year"
"1",1,27,27,0,1,141,2,"Kig","ADS001",1,1993,14,14,1,-5.03046357615894,-5.48,9,7,1,8.54172185430463,8.10333333333333,55,46,9,50,50,0,127.995498805247,98.1253026040822,19.775021196026,1994
"2",3,26,26,0,1,143,0,"Kig","ADS002",1,1993,14,14,1,-5.03046357615894,-5.48,9,7,1,8.54172185430463,8.10333333333333,55,46,9,50,50,0,127.995498805247,98.1253026040822,19.775021196026,1994
"3",4,27,27,0,1,141,2,"Kig","ADS003",1,1993,14,14,1,-5.03046357615894,-5.48,9,7,1,8.54172185430463,8.10333333333333,55,46,9,50,50,0,127.995498805247,98.1253026040822,19.775021196026,1994
"4",4,20,20,0,1,141,2,"Kig","ADS004",1,1993,14,14,1,-5.03046357615894,-5.48,9,7,1,8.54172185430463,8.10333333333333,55,46,9,50,50,0,127.995498805247,98.1253026040822,19.775021196026,1994
"5",5,27,27,0,1,145,-2,"Kig","ADS008",1,1993,14,14,1,-5.03046357615894,-5.48,9,7,1,8.54172185430463,8.10333333333333,55,46,9,50,50,0,127.995498805247,98.1253026040822,19.775021196026,1994
"6",8,24,24,0,1,145,-2,"Kig","ADS014",1,1993,14,14,1,-5.03046357615894,-5.48,9,7,1,8.54172185430463,8.10333333333333,55,46,9,50,50,0,127.995498805247,98.1253026040822,19.775021196026,1994
"7",8,29,29,0,1,145,-2,"Kig","ADS017",1,1993,14,14,1,-5.03046357615894,-5.48,9,7,1,8.54172185430463,8.10333333333333,55,46,9,50,50,0,127.995498805247,98.1253026040822,19.775021196026,1994
"8",8,30,30,0,1,148,-5,"Kig","ADS022",1,1993,14,14,1,-5.03046357615894,-5.48,9,7,1,8.54172185430463,8.10333333333333,55,46,9,50,50,0,127.995498805247,98.1253026040822,19.775021196026,1994
"9",13,34,34,0,1,147,-4,"Kig","ADS030",1,1993,14,14,1,-5.03046357615894,-5.48,9,7,1,8.54172185430463,8.10333333333333,55,46,9,50,50,0,127.995498805247,98.1253026040822,19.775021196026,1994
"10",14,36,36,0,1,151,-8,"Kig","ADS031",1,1993,14,14,1,-5.03046357615894,-5.48,9,7,1,8.54172185430463,8.10333333333333,55,46,9,50,50,0,127.995498805247,98.1253026040822,19.775021196026,1994
"11",4,31,31,0,1,148,-5,"Kig","ADS032",1,1993,14,14,1,-5.03046357615894,-5.48,9,7,1,8.54172185430463,8.10333333333333,55,46,9,50,50,0,127.995498805247,98.1253026040822,19.775021196026,1994
"12",15,31,31,0,1,139,4,"Kig","ADS036",1,1993,14,14,1,-5.03046357615894,-5.48,9,7,1,8.54172185430463,8.10333333333333,55,46,9,50,50,0,127.995498805247,98.1253026040822,19.775021196026,1994
"13",15,31,31,0,1,146,-3,"Kig","ADS037",1,1993,14,14,1,-5.03046357615894,-5.48,9,7,1,8.54172185430463,8.10333333333333,55,46,9,50,50,0,127.995498805247,98.1253026040822,19.775021196026,1994
"14",16,27,27,0,1,140,3,"Kig","KSB001",1,1993,14,14,1,-5.03046357615894,-5.48,9,7,1,8.54172185430463,8.10333333333333,55,46,9,50,50,0,127.995498805247,98.1253026040822,19.775021196026,1994
"15",16,30,30,0,1,140,3,"Kig","KSB002",1,1993,14,14,1,-5.03046357615894,-5.48,9,7,1,8.54172185430463,8.10333333333333,55,46,9,50,50,0,127.995498805247,98.1253026040822,19.775021196026,1994
"16",18,36,36,0,1,154,-11,"Kig","KSB005",1,1993,14,14,1,-5.03046357615894,-5.48,9,7,1,8.54172185430463,8.10333333333333,55,46,9,50,50,0,127.995498805247,98.1253026040822,19.775021196026,1994
"17",18,29,29,0,1,147,-4,"Kig","KSB006",1,1993,14,14,1,-5.03046357615894,-5.48,9,7,1,8.54172185430463,8.10333333333333,55,46,9,50,50,0,127.995498805247,98.1253026040822,19.775021196026,1994
"18",26,32,32,0,1,147,-4,"Kig","KSB011",1,1993,14,14,1,-5.03046357615894,-5.48,9,7,1,8.54172185430463,8.10333333333333,55,46,9,50,50,0,127.995498805247,98.1253026040822,19.775021196026,1994
"19",27,39,39,0,1,151,-8,"Kig","KSB014",1,1993,14,14,1,-5.03046357615894,-5.48,9,7,1,8.54172185430463,8.10333333333333,55,46,9,50,50,0,127.995498805247,98.1253026040822,19.775021196026,1994
