FirstFound,LastPresent,LastChecked,Fate,Freq,Init,NestAge,Year,Site,Win_Hi,Win_Lo,Spr_Hi,Spr_Lo,Nest
1,27,27,0,1,141,2,1994,Kig,52,50,9,0,ADS001
3,26,26,0,1,143,0,1994,Kig,52,50,9,0,ADS002
4,27,27,0,1,141,2,1994,Kig,52,50,9,0,ADS003
4,20,20,0,1,141,2,1994,Kig,52,50,9,0,ADS004
5,27,27,0,1,145,-2,1994,Kig,52,50,9,0,ADS008
8,24,24,0,1,145,-2,1994,Kig,52,50,9,0,ADS014
8,29,29,0,1,145,-2,1994,Kig,52,50,9,0,ADS017
8,30,30,0,1,148,-5,1994,Kig,52,50,9,0,ADS022
13,34,34,0,1,147,-4,1994,Kig,52,50,9,0,ADS030
14,36,36,0,1,151,-8,1994,Kig,52,50,9,0,ADS031
4,31,31,0,1,148,-5,1994,Kig,52,50,9,0,ADS032
15,31,31,0,1,139,4,1994,Kig,52,50,9,0,ADS036
15,31,31,0,1,146,-3,1994,Kig,52,50,9,0,ADS037
16,27,27,0,1,140,3,1994,Kig,52,50,9,0,KSB001
16,30,30,0,1,140,3,1994,Kig,52,50,9,0,KSB002
18,36,36,0,1,154,-11,1994,Kig,52,50,9,0,KSB005
18,29,29,0,1,147,-4,1994,Kig,52,50,9,0,KSB006
26,32,32,0,1,147,-4,1994,Kig,52,50,9,0,KSB011
27,39,39,0,1,151,-8,1994,Kig,52,50,9,0,KSB014
29,32,32,0,1,150,-7,1994,Kig,52,50,9,0,KSB017
24,47,47,0,1,155,-12,1994,Kig,52,50,9,0,TDB002
1,24,24,0,1,141,2,1994,Kig,52,50,9,0,TLM004
2,26,26,0,1,142,1,1994,Kig,52,50,9,0,TLM007
3,24,24,0,1,140,3,1994,Kig,52,50,9,0,TLM012
3,28,28,0,1,143,0,1994,Kig,52,50,9,0,TLM014
4,27,27,0,1,141,2,1994,Kig,52,50,9,0,TLM016
4,25,25,0,1,141,2,1994,Kig,52,50,9,0,TLM017
6,28,28,0,1,143,0,1994,Kig,52,50,9,0,TLM021
6,29,29,0,1,143,0,1994,Kig,52,50,9,0,TLM023
6,18,18,0,1,140,3,1994,Kig,52,50,9,0,TLM026
7,31,31,0,1,147,-4,1994,Kig,52,50,9,0,TLM029
8,30,30,0,1,145,-2,1994,Kig,52,50,9,0,TLM031
8,24,24,0,1,145,-2,1994,Kig,52,50,9,0,TLM033
8,28,28,0,1,145,-2,1994,Kig,52,50,9,0,TLM042
8,30,30,0,1,145,-2,1994,Kig,52,50,9,0,TLM043
9,20,20,0,1,133,10,1994,Kig,52,50,9,0,TLM045
9,27,27,0,1,143,0,1994,Kig,52,50,9,0,TLM047
10,23,23,0,1,144,-1,1994,Kig,52,50,9,0,TLM051
11,34,34,0,1,151,-8,1994,Kig,52,50,9,0,TLM052
11,25,25,0,1,142,1,1994,Kig,52,50,9,0,TLM053
12,33,33,0,1,152,-9,1994,Kig,52,50,9,0,TLM067
12,25,25,0,1,146,-3,1994,Kig,52,50,9,0,TLM070
13,29,29,0,1,147,-4,1994,Kig,52,50,9,0,TLM071
13,24,24,0,1,150,-7,1994,Kig,52,50,9,0,TLM073
13,29,29,0,1,144,-1,1994,Kig,52,50,9,0,TLM074
14,26,26,0,1,145,-2,1994,Kig,52,50,9,0,TLM075
14,29,29,0,1,148,-5,1994,Kig,52,50,9,0,TLM078
16,29,29,0,1,150,-7,1994,Kig,52,50,9,0,TLM079
17,29,29,0,1,148,-5,1994,Kig,52,50,9,0,TLM082
18,37,37,0,1,155,-12,1994,Kig,52,50,9,0,TLM083
18,24,24,0,1,142,1,1994,Kig,52,50,9,0,TLM087
19,33,33,0,1,148,-5,1994,Kig,52,50,9,0,TLM088
19,21,21,0,1,138,5,1994,Kig,52,50,9,0,TLM091
20,26,26,0,1,144,-1,1994,Kig,52,50,9,0,TLM094
25,33,33,0,1,149,-6,1994,Kig,52,50,9,0,TLM096
26,28,28,0,1,146,-3,1994,Kig,52,50,9,0,TLM097
5,25,27,1,1,142,1,1994,Kig,52,50,9,0,ADS010
13,13,23,1,1,153,-10,1994,Kig,52,50,9,0,ADS027
13,13,23,1,1,150,-7,1994,Kig,52,50,9,0,ADS028
13,23,33,1,1,150,-7,1994,Kig,52,50,9,0,ADS029
15,32,36,1,1,152,-9,1994,Kig,52,50,9,0,ADS035
16,31,36,1,1,147,-4,1994,Kig,52,50,9,0,ADS040
20,20,26,1,1,144,-1,1994,Kig,52,50,9,0,ADS044
24,31,33,1,1,158,-15,1994,Kig,52,50,9,0,ADS046
25,32,33,1,1,149,-6,1994,Kig,52,50,9,0,KSB009
21,31,37,1,1,155,-12,1994,Kig,52,50,9,0,TDB001
24,34,36,1,1,155,-12,1994,Kig,52,50,9,0,TDB003
1,1,11,1,1,141,2,1994,Kig,52,50,9,0,TLM003
2,2,12,1,1,142,1,1994,Kig,52,50,9,0,TLM006
6,26,29,1,1,146,-3,1994,Kig,52,50,9,0,TLM019
7,7,24,1,1,141,2,1994,Kig,52,50,9,0,TLM028
8,8,18,1,1,142,1,1994,Kig,52,50,9,0,TLM032
9,29,31,1,1,146,-3,1994,Kig,52,50,9,0,TLM046
12,12,22,1,1,152,-9,1994,Kig,52,50,9,0,TLM054
16,16,26,1,1,140,3,1994,Kig,52,50,9,0,TLM080
34,36,37,1,1,156,-13,1994,Kig,52,50,9,0,TLM099
19,32,32,0,1,150,-7,1994,Kig,52,50,9,0,KSB007
1,24,24,0,1,141,2,1994,Kig,52,50,9,0,TLM001
1,24,24,0,1,143,2,1995,Kig,81,37,8,0,MRB003
1,21,21,0,1,140,5,1995,Kig,81,37,8,0,MRB004
2,22,22,0,1,144,1,1995,Kig,81,37,8,0,MRB007
4,27,27,0,1,146,-1,1995,Kig,81,37,8,0,MRB010
4,26,26,0,1,143,2,1995,Kig,81,37,8,0,MRB011
4,25,25,0,1,146,-1,1995,Kig,81,37,8,0,MRB012
5,27,27,0,1,147,-2,1995,Kig,81,37,8,0,MRB014
5,23,23,0,1,141,4,1995,Kig,81,37,8,0,MRB016
6,28,28,0,1,148,-3,1995,Kig,81,37,8,0,MRB019
7,23,23,0,1,140,5,1995,Kig,81,37,8,0,MRB021
8,21,21,0,1,141,4,1995,Kig,81,37,8,0,MRB025
9,25,25,0,1,144,1,1995,Kig,81,37,8,0,MRB030
9,24,24,0,1,144,1,1995,Kig,81,37,8,0,MRB033
10,26,26,0,1,146,-1,1995,Kig,81,37,8,0,MRB034
10,24,24,0,1,143,2,1995,Kig,81,37,8,0,MRB036
10,23,23,0,1,146,-1,1995,Kig,81,37,8,0,MRB040
11,25,25,0,1,147,-2,1995,Kig,81,37,8,0,MRB041
11,25,25,0,1,144,1,1995,Kig,81,37,8,0,MRB042
14,28,28,0,1,149,-4,1995,Kig,81,37,8,0,MRB049
14,38,38,0,1,156,-11,1995,Kig,81,37,8,0,MRB050
15,29,29,0,1,148,-3,1995,Kig,81,37,8,0,MRB051
15,33,33,0,1,151,-6,1995,Kig,81,37,8,0,MRB052
15,36,36,0,1,157,-12,1995,Kig,81,37,8,0,MRB053
15,32,32,0,1,151,-6,1995,Kig,81,37,8,0,MRB054
15,33,33,0,1,154,-9,1995,Kig,81,37,8,0,MRB055
19,30,30,0,1,148,-3,1995,Kig,81,37,8,0,MRB061
20,34,34,0,1,153,-8,1995,Kig,81,37,8,0,MRB063
23,31,31,0,1,146,-1,1995,Kig,81,37,8,0,MRB065
24,28,28,0,1,147,-2,1995,Kig,81,37,8,0,MRB067
32,36,36,0,1,155,-10,1995,Kig,81,37,8,0,MRB071
1,24,24,0,1,143,2,1995,Kig,81,37,8,0,TLM007
3,24,24,0,1,142,3,1995,Kig,81,37,8,0,TLM018
5,27,27,0,1,144,1,1995,Kig,81,37,8,0,TLM026
5,21,21,0,1,141,4,1995,Kig,81,37,8,0,TLM029
6,26,26,0,1,145,0,1995,Kig,81,37,8,0,TLM030
6,19,19,0,1,142,3,1995,Kig,81,37,8,0,TLM031
8,23,23,0,1,144,1,1995,Kig,81,37,8,0,TLM039
8,27,27,0,1,146,-1,1995,Kig,81,37,8,0,TLM040
9,23,23,0,1,144,1,1995,Kig,81,37,8,0,TLM043
9,24,24,0,1,145,0,1995,Kig,81,37,8,0,TLM044
9,27,27,0,1,148,-3,1995,Kig,81,37,8,0,TLM045
9,26,26,0,1,145,0,1995,Kig,81,37,8,0,TLM046
9,26,26,0,1,145,0,1995,Kig,81,37,8,0,TLM048
9,26,26,0,1,147,-2,1995,Kig,81,37,8,0,TLM051
9,25,25,0,1,145,0,1995,Kig,81,37,8,0,TLM052
10,31,31,0,1,152,-7,1995,Kig,81,37,8,0,TLM056
10,26,26,0,1,144,1,1995,Kig,81,37,8,0,TLM057
10,21,21,0,1,139,6,1995,Kig,81,37,8,0,TLM058
10,30,30,0,1,152,-7,1995,Kig,81,37,8,0,TLM059
10,24,24,0,1,143,2,1995,Kig,81,37,8,0,TLM060
10,25,25,0,1,143,2,1995,Kig,81,37,8,0,TLM061
11,35,35,0,1,153,-8,1995,Kig,81,37,8,0,TLM062
11,25,25,0,1,144,1,1995,Kig,81,37,8,0,TLM064
11,30,30,0,1,152,-7,1995,Kig,81,37,8,0,TLM065
11,31,31,0,1,152,-7,1995,Kig,81,37,8,0,TLM067
11,28,28,0,1,144,1,1995,Kig,81,37,8,0,TLM069
12,28,28,0,1,148,-3,1995,Kig,81,37,8,0,TLM071
12,32,32,0,1,154,-9,1995,Kig,81,37,8,0,TLM072
13,33,33,0,1,155,-10,1995,Kig,81,37,8,0,TLM073
13,33,33,0,1,155,-10,1995,Kig,81,37,8,0,TLM075
13,29,29,0,1,146,-1,1995,Kig,81,37,8,0,TLM076
15,25,25,0,1,138,7,1995,Kig,81,37,8,0,TLM078
17,31,31,0,1,153,-8,1995,Kig,81,37,8,0,TLM081
17,28,28,0,1,150,-5,1995,Kig,81,37,8,0,TLM084
19,32,32,0,1,152,-7,1995,Kig,81,37,8,0,TLM089
19,36,36,0,1,155,-10,1995,Kig,81,37,8,0,TLM090
19,27,27,0,1,142,3,1995,Kig,81,37,8,0,TLM091
22,26,26,0,1,145,0,1995,Kig,81,37,8,0,TLM094
25,34,34,0,1,151,-6,1995,Kig,81,37,8,0,TLM096
26,34,34,0,1,152,-7,1995,Kig,81,37,8,0,TLM098
6,16,22,1,1,145,0,1995,Kig,81,37,8,0,MRB017
7,7,17,1,1,149,-4,1995,Kig,81,37,8,0,MRB022
9,19,25,1,1,145,0,1995,Kig,81,37,8,0,MRB027
9,19,25,1,1,135,10,1995,Kig,81,37,8,0,MRB031
9,9,19,1,1,148,-3,1995,Kig,81,37,8,0,MRB032
10,20,30,1,1,152,-7,1995,Kig,81,37,8,0,MRB037
10,10,20,1,1,145,0,1995,Kig,81,37,8,0,MRB039
15,31,33,1,1,151,-6,1995,Kig,81,37,8,0,MRB056
16,26,32,1,1,155,-10,1995,Kig,81,37,8,0,MRB060
19,25,28,1,1,145,0,1995,Kig,81,37,8,0,MRB062
20,30,32,1,1,153,-8,1995,Kig,81,37,8,0,MRB064
