"","Nest","FirstFound","LastPresent","LastChecked","Fate","Freq","Init","AgeDay1","Year","Site","Win_Hi","Win_Lo","Spr_Hi","Spr_Lo","wxt","sxt","wxw","sxw"
"2706","10-BJH003",20,28,28,0,1,170,-1,2010,"utq",65,44,29,0,23,5,5,1
"2707","10-BJH011",26,29,29,0,1,172,-3,2010,"utq",65,44,29,0,23,5,5,1
"2708","10-DES024",19,30,30,0,1,174,-5,2010,"utq",65,44,29,0,23,5,5,1
"2709","10-DES027",27,29,29,0,1,173,-4,2010,"utq",65,44,29,0,23,5,5,1
"2710","10-KEO018",14,34,34,0,1,175,-6,2010,"utq",65,44,29,0,23,5,5,1
"2711","10-PLB001",1,27,27,0,1,171,-2,2010,"utq",65,44,29,0,23,5,5,1
"2712","10-SMN005",6,27,27,0,1,169,0,2010,"utq",65,44,29,0,23,5,5,1
"2713","10-SMN006",6,27,27,0,1,173,-4,2010,"utq",65,44,29,0,23,5,5,1
"2714","10-KEO020",19,29,30,1,1,174,-5,2010,"utq",65,44,29,0,23,5,5,1
"2715","10-KJB003",1,10,15,1,1,167,2,2010,"utq",65,44,29,0,23,5,5,1
"2716","10-KJB012",8,8,15,1,1,172,-3,2010,"utq",65,44,29,0,23,5,5,1
"2717","10-KJB014",20,20,22,1,1,167,2,2010,"utq",65,44,29,0,23,5,5,1
"2718","10-LLS003",1,1,10,1,1,167,2,2010,"utq",65,44,29,0,23,5,5,1
"2719","10-LLS013",8,8,15,1,1,174,-5,2010,"utq",65,44,29,0,23,5,5,1
"2720","10-NRD021",16,16,21,1,1,184,-15,2010,"utq",65,44,29,0,23,5,5,1
"2721","11-AJS019",24,30,30,0,1,168,-5,2011,"utq",51,60,21,3,1,3,7,5
"2722","11-AJS022",24,34,34,0,1,169,-6,2011,"utq",51,60,21,3,1,3,7,5
"2723","11-AJS025",24,27,27,0,1,166,-3,2011,"utq",51,60,21,3,1,3,7,5
"2724","11-AJS031",28,31,31,0,1,168,-5,2011,"utq",51,60,21,3,1,3,7,5
"2725","11-DES023",31,37,37,0,1,175,-12,2011,"utq",51,60,21,3,1,3,7,5
"2726","11-KER017",14,29,29,0,1,166,-3,2011,"utq",51,60,21,3,1,3,7,5
"2727","11-MCZ027",31,38,38,0,1,176,-13,2011,"utq",51,60,21,3,1,3,7,5
"2728","11-NCS003",2,28,28,0,1,163,0,2011,"utq",51,60,21,3,1,3,7,5
"2729","11-NRD013",10,33,33,0,1,171,-8,2011,"utq",51,60,21,3,1,3,7,5
"2730","11-NRD027",24,29,29,0,1,165,-2,2011,"utq",51,60,21,3,1,3,7,5
"2731","11-NRD030",24,29,29,0,1,166,-3,2011,"utq",51,60,21,3,1,3,7,5
"2732","11-SBF008",22,28,28,0,1,166,-3,2011,"utq",51,60,21,3,1,3,7,5
"2733","11-CAA002",1,1,9,1,1,162,1,2011,"utq",51,60,21,3,1,3,7,5
"2734","11-JMC013",19,19,35,1,1,177,-14,2011,"utq",51,60,21,3,1,3,7,5
"2735","11-JTN008",19,19,35,1,1,181,-18,2011,"utq",51,60,21,3,1,3,7,5
"2736","11-MJM012",9,30,32,1,1,170,-7,2011,"utq",51,60,21,3,1,3,7,5
"2737","12-EKW012",18,27,27,0,1,166,0,2012,"utq",52,45,23,0,36,5,11,0
"2738","12-JJN009",1,27,27,0,1,165,1,2012,"utq",52,45,23,0,36,5,11,0
"2739","12-KEO001",4,27,27,0,1,167,-1,2012,"utq",52,45,23,0,36,5,11,0
"2740","12-MCZ048",18,31,31,0,1,170,-4,2012,"utq",52,45,23,0,36,5,11,0
"2741","12-MLS014",6,28,28,0,1,168,-3,2012,"utq",52,45,23,0,36,5,11,0
"2742","12-MLS015",6,28,28,0,1,169,-3,2012,"utq",52,45,23,0,36,5,11,0
"2743","12-MLS025",25,35,35,0,1,175,-9,2012,"utq",52,45,23,0,36,5,11,0
"2744","12-MTW053",20,34,34,0,1,175,-9,2012,"utq",52,45,23,0,36,5,11,0
"2745","12-RRG007",3,27,27,0,1,167,-1,2012,"utq",52,45,23,0,36,5,11,0
"2746","12-JJN016",7,7,10,1,1,171,-5,2012,"utq",52,45,23,0,36,5,11,0
"2747","12-MCZ026",7,15,23,1,1,171,-5,2012,"utq",52,45,23,0,36,5,11,0
"2748","12-MTW044",18,18,25,1,1,166,0,2012,"utq",52,45,23,0,36,5,11,0
"2749","12-MTW055",20,22,25,1,1,168,-2,2012,"utq",52,45,23,0,36,5,11,0
"2750","12-SAM010",6,6,14,1,1,164,2,2012,"utq",52,45,23,0,36,5,11,0
"2751","12-VC009",6,22,25,1,1,170,-4,2012,"utq",52,45,23,0,36,5,11,0
"2752","13-ACL017",8,32,32,0,1,166,-3,2013,"utq",57,46,22,0,14,7,8,1
"2753","13-ACL019",17,31,31,0,1,169,-6,2013,"utq",57,46,22,0,14,7,8,1
"2754","13-CRG028",17,26,26,0,1,164,-1,2013,"utq",57,46,22,0,14,7,8,1
"2755","13-FOX004",15,29,29,0,1,167,-4,2013,"utq",57,46,22,0,14,7,8,1
"2756","13-MWM023",7,28,28,0,1,166,-3,2013,"utq",57,46,22,0,14,7,8,1
"2757","13-MWM035",9,28,28,0,1,166,-3,2013,"utq",57,46,22,0,14,7,8,1
"2758","13-SKM030",31,33,33,0,1,171,-8,2013,"utq",57,46,22,0,14,7,8,1
"2759","13-ACL022",18,18,25,1,1,163,0,2013,"utq",57,46,22,0,14,7,8,1
"2760","13-BES005",8,8,15,1,1,169,-6,2013,"utq",57,46,22,0,14,7,8,1
"2761","13-DEG030",13,26,31,1,1,175,-12,2013,"utq",57,46,22,0,14,7,8,1
"2762","13-DES005",1,8,15,1,1,163,0,2013,"utq",57,46,22,0,14,7,8,1
"2763","13-KAD026",17,17,26,1,1,166,-3,2013,"utq",57,46,22,0,14,7,8,1
"2764","13-MWM034",9,9,17,1,1,171,-8,2013,"utq",57,46,22,0,14,7,8,1
"2765","13-SKM022",7,17,26,1,1,168,-5,2013,"utq",57,46,22,0,14,7,8,1
"2766","13-SPT015",8,8,15,1,1,166,-3,2013,"utq",57,46,22,0,14,7,8,1
"2767","14-DPJ033",9,29,29,0,1,170,-1,2014,"utq",38,55,7,9,5,0,9,1
"2768","14-EEU029",8,28,28,0,1,172,-3,2014,"utq",38,55,7,9,5,0,9,1
"2769","14-EEU031",9,26,26,0,1,168,1,2014,"utq",38,55,7,9,5,0,9,1
"2770","14-LRK058",10,26,26,0,1,170,-1,2014,"utq",38,55,7,9,5,0,9,1
"2771","14-LRK059",12,26,26,0,1,170,-1,2014,"utq",38,55,7,9,5,0,9,1
"2772","14-MTW053",5,25,25,0,1,168,1,2014,"utq",38,55,7,9,5,0,9,1
"2773","14-MTW093",14,26,26,0,1,172,-3,2014,"utq",38,55,7,9,5,0,9,1
"2774","14-MTW095",14,25,25,0,1,170,-1,2014,"utq",38,55,7,9,5,0,9,1
"2775","14-MTW096",15,26,26,0,1,169,0,2014,"utq",38,55,7,9,5,0,9,1
"2776","14-MTW103",17,26,26,0,1,168,1,2014,"utq",38,55,7,9,5,0,9,1
"2777","14-MWM015",2,25,25,0,1,170,-1,2014,"utq",38,55,7,9,5,0,9,1
"2778","14-MWM055",14,28,28,0,1,172,-3,2014,"utq",38,55,7,9,5,0,9,1
"2779","14-EEU035",14,18,23,1,1,172,-3,2014,"utq",38,55,7,9,5,0,9,1
"2780","14-EEU037",16,16,23,1,1,168,1,2014,"utq",38,55,7,9,5,0,9,1
"2781","14-FOX002",1,16,25,1,1,170,-1,2014,"utq",38,55,7,9,5,0,9,1
"2782","14-SMH015",3,3,10,1,1,170,-1,2014,"utq",38,55,7,9,5,0,9,1
"2783","15-ERY012",4,22,22,0,1,169,-2,2015,"utq",14,94,7,4,0,0,11,2
"2784","15-ERY021",14,18,18,0,1,163,4,2015,"utq",14,94,7,4,0,0,11,2
"2785","15-HCC013",14,18,18,0,1,160,7,2015,"utq",14,94,7,4,0,0,11,2
"2786","15-MCM015",2,16,16,0,1,158,9,2015,"utq",14,94,7,4,0,0,11,2
"2787","15-MCM045",14,15,15,0,1,157,10,2015,"utq",14,94,7,4,0,0,11,2
"2788","15-NRG003",1,8,8,0,1,150,17,2015,"utq",14,94,7,4,0,0,11,2
"2789","15-NRG019",13,17,17,0,1,159,8,2015,"utq",14,94,7,4,0,0,11,2
"2790","15-QMB003",1,18,18,0,1,160,7,2015,"utq",14,94,7,4,0,0,11,2
"2791","15-SEY026",9,28,28,0,1,171,-4,2015,"utq",14,94,7,4,0,0,11,2
