"","estimate","se","lcl","ucl","fixed","note","rnumber"
"S g1994kig a0 t1",0.9848409,0.0038732,0.9750443,0.990828,"     ","",1
"S g1994kig a1 t2",0.9845902,0.0038834,0.9748041,0.990612,"     ","",2
"S g1994kig a2 t3",0.9843354,0.0038954,0.9745535,0.9903941,"     ","",3
"S g1994kig a3 t4",0.9840764,0.0039095,0.9742918,0.9901746,"     ","",4
"S g1994kig a4 t5",0.9838133,0.0039259,0.9740185,0.9899536,"     ","",5
"S g1994kig a5 t6",0.9835458,0.0039449,0.9737328,0.9897315,"     ","",6
"S g1994kig a6 t7",0.983274,0.0039665,0.9734342,0.9895085,"     ","",7
"S g1994kig a7 t8",0.9829978,0.0039912,0.973122,0.9892849,"     ","",8
"S g1994kig a8 t9",0.9827171,0.0040192,0.9727954,0.9890611,"     ","",9
"S g1994kig a9 t10",0.9824319,0.0040506,0.9724537,0.9888372,"     ","",10
"S g1994kig a10 t11",0.9821421,0.0040859,0.9720962,0.9886136,"     ","",11
"S g1994kig a11 t12",0.9818475,0.0041251,0.9717221,0.9883906,"     ","",12
"S g1994kig a12 t13",0.9815482,0.0041686,0.9713307,0.9881686,"     ","",13
"S g1994kig a13 t14",0.981244,0.0042168,0.9709212,0.9879478,"     ","",14
"S g1994kig a14 t15",0.980935,0.0042697,0.9704928,0.9877285,"     ","",15
"S g1994kig a15 t16",0.9806209,0.0043277,0.9700447,0.9875111,"     ","",16
"S g1994kig a16 t17",0.9803018,0.0043911,0.9695762,0.9872957,"     ","",17
"S g1994kig a17 t18",0.9799775,0.00446,0.9690865,0.9870827,"     ","",18
"S g1994kig a18 t19",0.979648,0.0045348,0.9685747,0.9868722,"     ","",19
"S g1994kig a19 t20",0.9793131,0.0046157,0.9680402,0.9866646,"     ","",20
"S g1994kig a20 t21",0.9789729,0.0047029,0.9674821,0.9864601,"     ","",21
"S g1994kig a21 t22",0.9786272,0.0047966,0.9668997,0.9862587,"     ","",22
"S g1994kig a22 t23",0.978276,0.004897,0.9662922,0.9860608,"     ","",23
"S g1994kig a23 t24",0.9779191,0.0050044,0.965659,0.9858663,"     ","",24
"S g1994kig a24 t25",0.9775565,0.0051189,0.9649992,0.9856755,"     ","",25
"S g1994kig a25 t26",0.9771881,0.0052407,0.9643122,0.9854884,"     ","",26
"S g1994kig a26 t27",0.9768137,0.0053699,0.9635972,0.985305,"     ","",27
"S g1994kig a27 t28",0.9764334,0.0055068,0.9628535,0.9851255,"     ","",28
"S g1994kig a28 t29",0.976047,0.0056514,0.9620805,0.9849498,"     ","",29
"S g1994kig a29 t30",0.9756544,0.0058039,0.9612774,0.984778,"     ","",30
"S g1994kig a30 t31",0.9752556,0.0059645,0.9604436,0.98461,"     ","",31
"S g1994kig a31 t32",0.9748503,0.0061332,0.9595783,0.9844459,"     ","",32
"S g1994kig a32 t33",0.9744386,0.0063102,0.9586808,0.9842854,"     ","",33
"S g1994kig a33 t34",0.9740204,0.0064956,0.9577505,0.9841287,"     ","",34
"S g1994kig a34 t35",0.9735955,0.0066896,0.9567866,0.9839757,"     ","",35
"S g1994kig a35 t36",0.9731638,0.0068921,0.9557884,0.9838262,"     ","",36
"S g1994kig a36 t37",0.9727253,0.0071034,0.9547551,0.9836801,"     ","",37
"S g1994kig a37 t38",0.9722798,0.0073236,0.9536862,0.9835375,"     ","",38
"S g1994kig a38 t39",0.9718273,0.0075527,0.9525807,0.9833982,"     ","",39
"S g1994kig a39 t40",0.9713675,0.0077908,0.9514379,0.983262,"     ","",40
"S g1994kig a40 t41",0.9709005,0.0080381,0.9502572,0.983129,"     ","",41
"S g1994kig a41 t42",0.9704261,0.0082947,0.9490376,0.9829989,"     ","",42
"S g1994kig a42 t43",0.9699443,0.0085607,0.9477783,0.9828717,"     ","",43
"S g1994kig a43 t44",0.9694548,0.0088362,0.9464786,0.9827473,"     ","",44
"S g1994kig a44 t45",0.9689576,0.0091213,0.9451375,0.9826256,"     ","",45
"S g1994kig a45 t46",0.9684525,0.0094162,0.9437543,0.9825065,"     ","",46
"S g1994kig a46 t47",0.9679396,0.0097209,0.9423281,0.9823898,"     ","",47
"S g1994kig a47 t48",0.9674185,0.0100355,0.9408578,0.9822756,"     ","",48
"S g1994kig a48 t49",0.9668893,0.0103604,0.9393428,0.9821636,"     ","",49
